ratio (timeFMB / timeSAT)
run	countInter	countNoInter	minInter	avgInter	maxInter	minNoInter	avgNoInter	maxNoInter	minTotal	avgTotal	maxTotal
0	316414	1683586	0.221802	0.808518	1.864261	0.037433	0.522864	12.296296	0.037433	0.568057	12.296296
1	315072	1684928	0.235872	0.810121	2.146758	0.036794	0.523173	9.764706	0.036794	0.568377	9.764706
2	315144	1684856	0.245421	0.810738	1.986183	0.035088	0.522344	9.382353	0.035088	0.567787	9.382353
3	314954	1685046	0.209735	0.811126	1.942275	0.037185	0.522870	9.518519	0.037185	0.568263	9.518519
4	315464	1684536	0.258348	0.809842	1.935702	0.036649	0.522922	9.371429	0.036649	0.568179	9.371429
5	314570	1685430	0.286413	0.809595	1.675541	0.036755	0.522667	9.294118	0.036755	0.567797	9.294118
6	315650	1684350	0.229520	0.809944	1.977273	0.037037	0.523020	10.000000	0.037037	0.568304	10.000000
7	315506	1684494	0.270161	0.809057	1.991319	0.036988	0.522468	9.294118	0.036988	0.567678	9.294118
8	314534	1685466	0.289784	0.809690	2.008711	0.035760	0.522142	9.333333	0.035760	0.567364	9.333333
9	316630	1683370	0.278565	0.810467	1.848586	0.038199	0.522282	9.588235	0.038199	0.567906	9.588235
